Date,Attendence,Fed Holiday,Weekend,Closed
3/31/2010,804,0,0,0
4/1/2010,695,0,0,0
4/2/2010,787,0,0,0
4/3/2010,368,0,1,0
4/4/2010,195,0,1,0
4/5/2010,720,0,0,0
4/6/2010,1200,0,0,0
4/7/2010,1128,0,0,0
4/8/2010,1118,0,0,0
4/9/2010,1243,0,0,0
4/10/2010,721,0,1,0
4/11/2010,718,0,1,0
4/12/2010,337,0,0,0
4/13/2010,450,0,0,0
4/14/2010,367,0,0,0
4/15/2010,383,0,0,0
4/16/2010,495,0,0,0
4/17/2010,540,0,1,0
4/18/2010,451,0,1,0
4/19/2010,162,0,0,0
4/20/2010,386,0,0,0
4/21/2010,610,0,0,0
4/22/2010,690,0,0,0
4/23/2010,453,0,0,0
4/24/2010,356,0,1,0
4/25/2010,534,0,1,0
4/26/2010,220,0,0,0
4/27/2010,377,0,0,0
4/28/2010,374,0,0,0
4/29/2010,413,0,0,0
4/30/2010,409,0,0,0
5/1/2010,602,0,1,0
5/2/2010,419,0,1,0
5/3/2010,100,0,0,0
5/4/2010,299,0,0,0
5/5/2010,317,0,0,0
5/6/2010,313,0,0,0
5/7/2010,309,0,0,0
5/8/2010,361,0,1,0
5/9/2010,164,0,1,0
5/10/2010,181,0,0,0
5/11/2010,358,0,0,0
5/12/2010,312,0,0,0
5/13/2010,425,0,0,0
5/14/2010,449,0,0,0
5/15/2010,617,0,1,0
5/16/2010,470,0,1,0
5/17/2010,221,0,0,0
5/18/2010,651,0,0,0
5/19/2010,347,0,0,0
5/20/2010,436,0,0,0
5/21/2010,436,0,0,0
5/22/2010,567,0,1,0
5/23/2010,539,0,1,0
5/24/2010,198,0,0,0
5/25/2010,270,0,0,0
5/26/2010,338,0,0,0
5/27/2010,412,0,0,0
5/28/2010,624,0,0,0
5/29/2010,561,0,1,0
5/30/2010,433,0,1,0
5/31/2010,272,1,0,0
6/1/2010,365,0,0,0
6/2/2010,271,0,0,0
6/3/2010,299,0,0,0
6/4/2010,435,0,0,0
6/5/2010,439,0,1,0
6/6/2010,327,0,1,0
6/7/2010,172,0,0,0
6/8/2010,414,0,0,0
6/9/2010,395,0,0,0
6/10/2010,452,0,0,0
6/11/2010,1265,0,0,0
6/12/2010,526,0,1,0
6/13/2010,464,0,1,0
6/14/2010,323,0,0,0
6/15/2010,513,0,0,0
6/16/2010,417,0,0,0
6/17/2010,420,0,0,0
6/18/2010,556,0,0,0
6/19/2010,397,0,1,0
6/20/2010,103,0,1,0
6/21/2010,232,0,0,0
6/22/2010,478,0,0,0
6/23/2010,444,0,0,0
6/24/2010,549,0,0,0
6/25/2010,634,0,0,0
6/26/2010,371,0,1,0
6/27/2010,369,0,1,0
6/28/2010,298,0,0,0
6/29/2010,709,0,0,0
6/30/2010,606,0,0,0
7/1/2010,547,0,0,0
7/2/2010,723,0,0,0
7/3/2010,472,0,1,0
7/4/2010,93,0,1,0
7/5/2010,675,1,0,0
7/6/2010,758,0,0,0
7/7/2010,745,0,0,0
7/8/2010,683,0,0,0
7/9/2010,1067,0,0,0
7/10/2010,600,0,1,0
7/11/2010,364,0,1,0
7/12/2010,241,0,0,0
7/13/2010,682,0,0,0
7/14/2010,684,0,0,0
7/15/2010,638,0,0,0
7/16/2010,640,0,0,0
7/17/2010,538,0,1,0
7/18/2010,422,0,1,0
7/19/2010,315,0,0,0
7/20/2010,626,0,0,0
7/21/2010,754,0,0,0
7/22/2010,810,0,0,0
7/23/2010,729,0,0,0
7/24/2010,646,0,1,0
7/25/2010,405,0,1,0
7/26/2010,318,0,0,0
7/27/2010,848,0,0,0
7/28/2010,892,0,0,0
7/29/2010,621,0,0,0
7/30/2010,717,0,0,0
7/31/2010,569,0,1,0
8/1/2010,389,0,1,0
8/2/2010,256,0,0,0
8/3/2010,646,0,0,0
8/4/2010,628,0,0,0
8/5/2010,552,0,0,0
8/6/2010,704,0,0,0
8/7/2010,438,0,1,0
8/8/2010,468,0,1,0
8/9/2010,293,0,0,0
8/10/2010,634,0,0,0
8/11/2010,555,0,0,0
8/12/2010,573,0,0,0
8/13/2010,931,0,0,0
8/14/2010,562,0,1,0
8/15/2010,505,0,1,0
8/16/2010,260,0,0,0
8/17/2010,668,0,0,0
8/18/2010,629,0,0,0
8/19/2010,678,0,0,0
8/20/2010,634,0,0,0
8/21/2010,522,0,1,0
8/22/2010,470,0,1,0
8/23/2010,291,0,0,0
8/24/2010,818,0,0,0
8/25/2010,691,0,0,0
8/26/2010,711,0,0,0
8/27/2010,664,0,0,0
8/28/2010,748,0,1,0
8/29/2010,1316,0,1,0
8/30/2010,363,0,0,0
8/31/2010,762,0,0,0
9/1/2010,591,0,0,0
9/2/2010,629,0,0,0
9/3/2010,677,0,0,0
9/4/2010,709,0,1,0
9/5/2010,778,0,1,0
9/6/2010,581,1,0,0
9/7/2010,389,0,0,0
9/8/2010,493,0,0,0
9/9/2010,398,0,0,0
9/10/2010,618,0,0,0
9/11/2010,590,0,1,0
9/12/2010,1030,0,1,0
9/13/2010,142,0,0,0
9/14/2010,297,0,0,0
9/15/2010,243,0,0,0
9/16/2010,309,0,0,0
9/17/2010,356,0,0,0
9/18/2010,593,0,1,0
9/19/2010,267,0,1,0
9/20/2010,365,0,0,0
9/21/2010,345,0,0,0
9/22/2010,275,0,0,0
9/23/2010,274,0,0,0
9/24/2010,313,0,0,0
9/25/2010,639,0,1,0
9/26/2010,582,0,1,0
9/27/2010,256,0,0,0
9/28/2010,464,0,0,0
9/29/2010,372,0,0,0
9/30/2010,446,0,0,0
10/1/2010,429,0,0,0
10/2/2010,613,0,1,0
10/3/2010,468,0,1,0
10/4/2010,231,0,0,0
10/5/2010,395,0,0,0
10/6/2010,522,0,0,0
10/7/2010,337,0,0,0
10/8/2010,542,0,0,0
10/9/2010,467,0,1,0
10/10/2010,425,0,1,0
10/11/2010,184,1,0,0
10/12/2010,265,0,0,0
10/13/2010,201,0,0,0
10/14/2010,246,0,0,0
10/15/2010,461,0,0,0
10/16/2010,652,0,1,0
10/17/2010,969,0,1,0
10/18/2010,189,0,0,0
10/19/2010,479,0,0,0
10/20/2010,548,0,0,0
10/21/2010,480,0,0,0
10/22/2010,512,0,0,0
10/23/2010,704,0,1,0
10/24/2010,421,0,1,0
10/25/2010,251,0,0,0
10/26/2010,246,0,0,0
10/27/2010,217,0,0,0
10/28/2010,246,0,0,0
10/29/2010,413,0,0,0
10/30/2010,643,0,1,0
10/31/2010,110,0,1,0
11/1/2010,212,0,0,0
11/2/2010,342,0,0,0
11/3/2010,310,0,0,0
11/4/2010,280,0,0,0
11/5/2010,389,0,0,0
11/6/2010,626,0,1,0
11/7/2010,538,0,1,0
11/8/2010,231,0,0,0
11/9/2010,217,0,0,0
11/10/2010,332,0,0,0
11/11/2010,1210,1,0,0
11/12/2010,1114,0,0,0
11/13/2010,554,0,1,0
11/14/2010,605,0,1,0
11/15/2010,122,0,0,0
11/16/2010,242,0,0,0
11/17/2010,291,0,0,0
11/18/2010,270,0,0,0
11/19/2010,366,0,0,0
11/20/2010,1058,0,1,0
11/21/2010,964,0,1,0
11/22/2010,443,0,0,0
11/23/2010,923,0,0,0
11/24/2010,713,1,0,0
11/25/2010,0,1,0,1
11/26/2010,597,0,0,0
11/27/2010,731,0,1,0
11/28/2010,439,0,1,0
11/29/2010,176,0,0,0
11/30/2010,233,0,0,0
12/1/2010,245,0,0,0
12/2/2010,225,0,0,0
12/3/2010,310,0,0,0
12/4/2010,456,0,1,0
12/5/2010,348,0,1,0
12/6/2010,164,0,0,0
12/7/2010,256,0,0,0
12/8/2010,222,0,0,0
12/9/2010,228,0,0,0
12/10/2010,426,0,0,0
12/11/2010,363,0,1,0
12/12/2010,291,0,1,0
12/13/2010,104,0,0,0
12/14/2010,235,0,0,0
12/15/2010,270,0,0,0
12/16/2010,273,0,0,0
12/17/2010,443,0,0,0
12/18/2010,699,0,1,0
12/19/2010,680,0,1,0
12/20/2010,570,0,0,0
12/21/2010,1105,0,0,0
12/22/2010,822,0,0,0
12/23/2010,905,0,0,0
12/24/2010,276,1,0,0
12/25/2010,0,0,1,1
12/26/2010,589,0,1,0
12/27/2010,696,0,0,0
12/28/2010,1182,0,0,0
12/29/2010,1509,0,0,0
12/30/2010,1376,0,0,0
12/31/2010,661,0,0,0
1/1/2011,0,1,1,1
1/2/2011,851,0,1,0
1/3/2011,474,0,0,0
1/4/2011,496,0,0,0
1/5/2011,384,0,0,0
1/6/2011,410,0,0,0
1/7/2011,464,0,0,0
1/8/2011,805,0,1,0
1/9/2011,634,0,1,0
1/10/2011,183,0,0,0
1/11/2011,399,0,0,0
1/12/2011,343,0,0,0
1/13/2011,293,0,0,0
1/14/2011,349,0,0,0
1/15/2011,849,0,1,0
1/16/2011,630,0,1,0
1/17/2011,899,1,0,0
1/18/2011,257,0,0,0
1/19/2011,250,0,0,0
1/20/2011,290,0,0,0
1/21/2011,395,0,0,0
1/22/2011,779,0,1,0
1/23/2011,590,0,1,0
1/24/2011,169,0,0,0
1/25/2011,371,0,0,0
1/26/2011,388,0,0,0
1/27/2011,347,0,0,0
1/28/2011,511,0,0,0
1/29/2011,754,0,1,0
1/30/2011,942,0,1,0
1/31/2011,162,0,0,0
2/1/2011,292,0,0,0
2/2/2011,321,0,0,0
2/3/2011,449,0,0,0
2/4/2011,413,0,0,0
2/5/2011,633,0,1,0
2/6/2011,380,0,1,0
2/7/2011,142,0,0,0
2/8/2011,267,0,0,0
2/9/2011,291,0,0,0
2/10/2011,178,0,0,0
2/11/2011,401,0,0,0
2/12/2011,602,0,1,0
2/13/2011,390,0,1,0
2/14/2011,192,0,0,0
2/15/2011,238,0,0,0
2/16/2011,524,0,0,0
2/17/2011,452,0,0,0
2/18/2011,820,0,0,0
2/19/2011,1334,0,1,0
2/20/2011,967,0,1,0
2/21/2011,1226,1,0,0
2/22/2011,408,0,0,0
2/23/2011,379,0,0,0
2/24/2011,389,0,0,0
2/25/2011,652,0,0,0
2/26/2011,1118,0,1,0
2/27/2011,839,0,1,0
2/28/2011,148,0,0,0
3/1/2011,261,0,0,0
3/2/2011,287,0,0,0
3/3/2011,343,0,0,0
3/4/2011,356,0,0,0
3/5/2011,580,0,1,0
3/6/2011,518,0,1,0
3/7/2011,0,0,0,1
3/8/2011,236,0,0,0
3/9/2011,253,0,0,0
3/10/2011,233,0,0,0
3/11/2011,474,0,0,0
3/12/2011,613,0,1,0
3/13/2011,438,0,1,0
3/14/2011,96,0,0,0
3/15/2011,199,0,0,0
3/16/2011,364,0,0,0
3/17/2011,494,0,0,0
3/18/2011,405,0,0,0
3/19/2011,900,0,1,0
3/20/2011,835,0,1,0
3/21/2011,367,0,0,0
3/22/2011,476,0,0,0
3/23/2011,363,0,0,0
3/24/2011,449,0,0,0
